symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
VTHO,BUY,LIMIT,IOC,187213,0.0052840,0.0052332,FILLED,39323,187213,1737851457328,989.233492
TRUMP,BUY,LIMIT,IOC,130.29,29.969955,29.698000,FILLED,32.37,130.29,1737851465544,3904.7854369499996
TRUMP,BUY,LIMIT,IOC,48.06,29.987269,29.740886,FILLED,0.39,48.06,1737851467120,1441.18814814
TRUMP,BUY,LIMIT,IOC,54.98,30.026056,29.768667,FILLED,10.36,54.98,1737851469331,1650.8325588799999
OM,BUY,LIMIT,IOC,2240.7,4.5266212,4.4948461,FILLED,27.7,2240.7,1737851470555,10142.800122839999
TRUMP,BUY,LIMIT,IOC,28.18,30.046704,29.744000,FILLED,27.42,28.18,1737851471264,846.7161187199999
OM,BUY,LIMIT,IOC,928.5,4.5384171,4.4899358,FILLED,194.9,928.5,1737851472235,4213.92027735
TRUMP,BUY,LIMIT,IOC,27.85,30.053664,29.763000,FILLED,27.85,27.85,1737851473112,836.9945424000001
TRUMP,BUY,LIMIT,IOC,7.71,30.065055,29.771581,FILLED,1.50,7.71,1737851474517,231.80157405
TRUMP,BUY,LIMIT,IOC,235.65,30.073339,29.799000,FILLED,235.65,235.65,1737851477094,7086.782335350001
VINE,BUY,LIMIT,IOC,483,0.3796200,0.3714800,FILLED,483,483,1737851477102,183.35646
VINE,BUY,LIMIT,IOC,164,0.3800905,0.3716036,FILLED,110,164,1737851484411,62.334842
OM,BUY,LIMIT,IOC,1635.0,4.5395323,4.5043659,FILLED,1177.1,1635.0,1737851490552,7422.135310500001
LEVER,BUY,LIMIT,IOC,174374,0.0016437,0.0016124,FILLED,117661,174374,1737851497465,286.6185438
JUP,BUY,LIMIT,IOC,3669,1.1990130,1.1898156,FILLED,283,3669,1737898226626,4399.178697
JUP,BUY,LIMIT,IOC,8154,1.2011276,1.1905730,FILLED,778,8154,1737898229041,9793.9944504
ONDO,SELL,LIMIT,IOC,3636.3,1.4314215,1.4457929,FILLED,76.0,3636.3,1737898229041,5205.07800045
TRUMP,BUY,LIMIT,IOC,11.76,30.028354,29.741000,FILLED,3.25,11.76,1737898235361,353.13344304
TRUMP,BUY,LIMIT,IOC,10.00,30.035266,29.760000,FILLED,10.00,10.00,1737898237415,300.35266
TRUMP,BUY,LIMIT,IOC,92.44,30.040182,29.770816,FILLED,37.59,92.44,1737898238434,2776.91442408
TRUMP,BUY,LIMIT,IOC,341.50,30.064645,29.779920,FILLED,319.25,341.50,1737898239757,10267.076267499999
SXP,BUY,LIMIT,IOC,1962.7,0.3201,0.3178,FILLED,1851.1,1962.7,1737898246207,628.26027
PENDLE,SELL,LIMIT,IOC,5,3.7491066,3.7831000,FILLED,5,5,1737898247468,18.745533000000002
JUP,BUY,LIMIT,IOC,95,1.2021222,1.1938000,FILLED,95,95,1737898248179,114.201609
JUP,BUY,LIMIT,IOC,58,1.2042202,1.1928000,FILLED,58,58,1737898249341,69.8447716
JUP,BUY,LIMIT,IOC,1019,1.2042997,1.1931454,FILLED,312,1019,1737898251200,1227.1813943
